"doc_id","sentence_id","word","brand"
64,4,"reviewer","bj"
64,4,"balance","bj"
64,5,"like","bj"
64,5,"blondie","bj"
64,6,"close","bj"
65,1,"flavor","bj"
65,1,"great","bj"
65,1,"work","bj"
65,2,"work","bj"
65,2,"concept","bj"
65,3,"evenly","bj"
65,3,"distribute","bj"
65,3,"isolate","bj"
65,3,"pool","bj"
65,4,"blondie","bj"
65,4,"pack","bj"
65,4,"bit","bj"
65,4,"flavor","bj"
65,5,"variety","bj"
65,5,"flavor","bj"
65,5,"taste","bj"
65,5,"flavor","bj"
65,5,"evenly","bj"
65,5,"distribute","bj"
65,6,"taste","bj"
65,6,"like","bj"
65,6,"cheap","bj"
65,6,"knockoff","bj"
66,1,"buy","bj"
66,1,"favor","bj"
66,1,"couple","bj"
66,1,"day","bj"
66,1,"ago","bj"
66,1,"bad","bj"
66,2,"everything","bj"
66,2,"great","bj"
66,2,"salty","bj"
66,2,"drown","bj"
66,2,"favor","bj"
66,3,"salty","bj"
66,4,"leave","bj"
66,4,"nasty","bj"
66,4,"taste","bj"
66,4,"mouth","bj"
66,5,"watch","bj"
66,5,"intake","bj"
66,5,"eat","bj"
66,5,"favor","bj"
67,1,"buy","bj"
67,1,"day","bj"
67,1,"excited","bj"
67,1,"salty","bj"
67,2,"love","bj"
67,2,"rave","bj"
67,3,"pretty","bj"
67,3,"confused","bj"
67,4,"bad","bj"
67,4,"pint","bj"
67,5,"like","bj"
67,5,"essence","bj"
67,6,"sooo","bj"
67,6,"overpoweringly","bj"
67,6,"salty","bj"
67,6,"time","bj"
67,6,"avoid","bj"
67,6,"swirl","bj"
70,1,"husband","bj"
70,1,"evening","bj"
70,1,"feel","bj"
70,1,"like","bj"
70,2,"head","bj"
70,2,"store","bj"
70,3,"trusty","bj"
70,3,"decide","bj"
70,3,"flavor","bj"
70,4,"description","bj"
70,4,"sound","bj"
70,4,"delicious","bj"
70,5,"delicious","bj"
70,6,"discover","bj"
70,6,"dollop","bj"
70,6,"top","bj"
70,7,"inch","bj"
70,7,"vanish","bj"
70,7,"leave","bj"
70,7,"blondie","bj"
70,7,"pretty","bj"
70,7,"stuff","bj"
70,7,"disappointed","bj"
70,7,"lack","bj"
71,1,"carmel","bj"
71,2,"salty","bj"
71,3,"tire","bj"
71,3,"firs","bj"
71,4,"hate","bj"
71,4,"salty","bj"
71,4,"decide","bj"
71,4,"formula","bj"
71,4,"tweak","bj"
71,4,"nope","bj"
71,5,"salty","bj"
71,6,"like","bj"
71,6,"scoop","bj"
71,6,"eat","bj"
73,1,"delicious","bj"
73,2,"down","bj"
73,2,"literally","bj"
73,2,"disappear","bj"
73,3,"blonde","bj"
73,3,"chi","bj"
73,3,"class","bj"
73,4,"buy","bj"
73,4,"kind","bj"
73,4,"feel","bj"
73,4,"like","bj"
73,4,"jippe","bj"
75,1,"like","bj"
75,1,"die","bj"
75,1,"hard","bj"
75,1,"fan","bj"
75,2,"great","bj"
75,3,"base","bj"
75,3,"yummy","bj"
75,3,"overpowering","bj"
75,3,"flavor","bj"
75,3,"blondie","bj"
75,3,"chuck","bj"
75,4,"center","bj"
75,4,"taste","bj"
75,4,"like","bj"
75,4,"pure","bj"
75,4,"table","bj"
75,5,"top","bj"
75,5,"point","bj"
75,5,"end","bj"
75,5,"eat","bj"
75,6,"flavor","bj"
76,1,"favorite","bj"
76,1,"flavor","bj"
76,2,"love","bj"
76,2,"sweet","bj"
76,3,"adore","bj"
76,3,"blonde","bj"
76,3,"piece","bj"
76,4,"soft","bj"
76,4,"chewy","bj"
76,4,"perfect","bj"
76,4,"texture","bj"
76,4,"delicious","bj"
76,5,"texture","bj"
76,5,"hard","bj"
76,5,"crumbly","bj"
76,5,"disappointing","bj"
76,6,"fluke","bj"
76,7,"pint","bj"
76,7,"store","bj"
76,7,"issue","bj"
77,1,"buy","bj"
77,1,"night","bj"
77,1,"excited","bj"
77,2,"great","bj"
77,2,"salty","bj"
77,2,"eat","bj"
77,3,"like","bj"
77,3,"pour","bj"
77,3,"shaker","bj"
77,3,"worth","bj"
77,4,"experience","bj"
81,1,"concept","bj"
81,1,"great","bj"
81,1,"lot","bj"
81,1,"key","bj"
81,1,"component","bj"
81,2,"love","bj"
81,3,"salty","bj"
81,3,"eat","bj"
81,4,"ingredient","bj"
81,4,"make","bj"
81,4,"taste","bj"
81,4,"isolation","bj"
81,5,"overpower","bj"
81,5,"everything","bj"
83,1,"pint","bj"
83,1,"throw","bj"
83,2,"awful","bj"
83,2,"taste","bj"
83,2,"gross","bj"
83,2,"chewy","bj"
83,2,"spit","bj"
83,2,"leave","bj"
83,2,"awful","bj"
83,2,"taste","bj"
83,3,"check","bj"
83,3,"date","bj"
83,3,"carton","bj"
83,5,"bad","bj"
83,5,"eat","bj"
85,1,"love","bj"
85,1,"flavor","bj"
85,1,"combo","bj"
85,2,"piece","bj"
85,3,"find","bj"
85,3,"dig","bj"
85,3,"piece","bj"
85,3,"middle","bj"
85,3,"pint","bj"
85,4,"disappointed","bj"
85,6,"taste","bj"
85,6,"point","bj"
85,7,"mess","bj"
86,3,"awesome","bj"
86,4,"love","bj"
86,4,"experience","bj"
86,5,"blondie","bj"
86,6,"bite","bj"
86,7,"excited","bj"
86,7,"everytime","bj"
86,8,"manage","bj"
86,8,"find","bj"
86,8,"small","bj"
86,8,"piece","bj"
86,9,"blondie","bj"
86,9,"make","bj"
86,9,"greyston","bj"
86,9,"bakery","bj"
89,1,"buy","bj"
89,1,"time","bj"
89,1,"buy","bj"
89,2,"inch","bj"
89,3,"bottom","bj"
89,3,"container","bj"
89,4,"ingredient","bj"
89,5,"star","bj"
91,1,"taste","bj"
91,1,"great","bj"
91,1,"potential","bj"
91,1,"pint","bj"
91,1,"buy","bj"
91,1,"couple","bj"
91,1,"blonde","bj"
91,1,"like","bj"
91,1,"expect","bj"
91,2,"fall","bj"
91,2,"short","bj"
91,2,"expectation","bj"
91,2,"justify","bj"
91,2,"spend","bj"
91,2,"pint","bj"
91,2,"chock","bj"
91,2,"full","bj"
91,2,"gooey","bj"
91,2,"goodness","bj"
92,1,"find","bj"
92,1,"store","bj"
92,2,"excited","bj"
92,3,"make","bj"
92,3,"home","bj"
92,4,"disappointment","bj"
92,4,"hit","bj"
92,4,"face","bj"
92,4,"die","bj"
92,4,"salty","bj"
92,5,"wow","bj"
92,7,"guess","bj"
92,7,"search","bj"
92,7,"perfect","bj"
92,7,"flavor","bj"
92,8,"exchange","bj"
94,1,"buy","bj"
94,1,"debut","bj"
94,2,"family","bj"
94,2,"favorite","bj"
94,2,"hoewever","bj"
94,3,"pint","bj"
94,3,"buy","bj"
94,3,"hard","bj"
94,3,"crunchy","bj"
94,3,"blondie","bj"
94,3,"bit","bj"
94,3,"soft","bj"
94,3,"chewy","bj"
94,3,"piece","bj"
94,3,"love","bj"
94,4,"disappointment","bj"
94,4,"sadly","bj"
94,4,"make","bj"
94,4,"stop","bj"
94,4,"buy","bj"
96,1,"day","bj"
96,1,"ago","bj"
96,2,"love","bj"
96,3,"blondie","bj"
96,3,"yummy","bj"
96,4,"enjoy","bj"
96,5,"salty","bj"
96,6,"eat","bj"
96,6,"like","bj"
98,1,"write","bj"
98,1,"enjoy","bj"
98,1,"pint","bj"
98,2,"delicious","bj"
98,2,"flavor","bj"
98,3,"problem","bj"
98,3,"waaay","bj"
